epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7707499861717224,0.514322817325592,0.20000000298023224,2.58556866645813,0.0010000000474974513
2,0.8007500171661377,0.4635014832019806,0.6100000143051147,1.0358227491378784,0.0010000000474974513
3,0.8363749980926514,0.37358197569847107,0.8399999737739563,0.3599451780319214,0.0010000000474974513
4,0.8385000228881836,0.35949671268463135,0.8029999732971191,0.39185741543769836,0.0010000000474974513
5,0.8444374799728394,0.35226964950561523,0.7990000247955322,0.43711164593696594,0.0010000000474974513
6,0.8574374914169312,0.31534743309020996,0.8610000014305115,0.31487932801246643,0.0005000000237487257
7,0.8577499985694885,0.32481348514556885,0.8610000014305115,0.316995769739151,0.0005000000237487257
8,0.8638749718666077,0.31188952922821045,0.7979999780654907,0.4784970283508301,0.0005000000237487257
9,0.8683124780654907,0.2968079149723053,0.8840000033378601,0.28979671001434326,0.0002500000118743628
10,0.878125011920929,0.2795867621898651,0.8360000252723694,0.32520198822021484,0.0002500000118743628
11,0.8731874823570251,0.281392902135849,0.8679999709129333,0.30290165543556213,0.0002500000118743628
12,0.874625027179718,0.2788548469543457,0.8899999856948853,0.280061274766922,0.0001250000059371814
13,0.875124990940094,0.2754170000553131,0.8510000109672546,0.31246447563171387,0.0001250000059371814
14,0.8761249780654907,0.2761176526546478,0.8709999918937683,0.29584917426109314,0.0001250000059371814
15,0.8852499723434448,0.2584229111671448,0.8709999918937683,0.3004480004310608,6.25000029685907e-05
16,0.882937490940094,0.26380059123039246,0.8610000014305115,0.30829450488090515,6.25000029685907e-05
