epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7388749718666077,0.5598034262657166,0.37400001287460327,2.1390788555145264,0.0010000000474974513
2,0.8013749718666077,0.4387904107570648,0.38999998569488525,3.4062256813049316,0.0010000000474974513
3,0.8183749914169312,0.3954204022884369,0.4000000059604645,2.196361541748047,0.0010000000474974513
4,0.8387500047683716,0.35916003584861755,0.5260000228881836,1.7382276058197021,0.0005000000237487257
5,0.8443750143051147,0.33721616864204407,0.6600000262260437,0.9710999727249146,0.0005000000237487257
6,0.8585000038146973,0.31910040974617004,0.6859999895095825,0.8053526282310486,0.0005000000237487257
7,0.8535000085830688,0.32072359323501587,0.7910000085830688,0.39098623394966125,0.0005000000237487257
8,0.8532500267028809,0.32157036662101746,0.8489999771118164,0.35072988271713257,0.0005000000237487257
9,0.8608750104904175,0.29961544275283813,0.8190000057220459,0.3910429775714874,0.0005000000237487257
10,0.8571249842643738,0.31675511598587036,0.8309999704360962,0.3561398684978485,0.0005000000237487257
11,0.8688750267028809,0.2848855257034302,0.8190000057220459,0.3680684566497803,0.0002500000118743628
12,0.875374972820282,0.28510597348213196,0.8199999928474426,0.35643795132637024,0.0002500000118743628
